taxon,lfc,se,W,p,q,diff_robust,passed_ss,Fraction,Kingdom,Phylum,Class,Order,Family,Genus,Lowest,label
ASV364,-1.772664366,0.652531364,-2.716596419,0.012039224,0.030692101,FALSE,FALSE,Bulk,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Aridibacter,Aridibacter,ASV364_Aridibacter
ASV366,-0.464083742,0.317832186,-1.460153387,0.157215556,0.254899699,FALSE,TRUE,Bulk,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Rhodocytophaga,Rhodocytophaga,ASV366_Rhodocytophaga
ASV367,-0.149916772,0.766216248,-0.195658565,0.84652454,0.904905543,FALSE,TRUE,Bulk,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,Bryobacter,ASV367_Bryobacter
ASV37,-1.416491735,0.630634901,-2.24613597,0.034168448,0.071958009,FALSE,TRUE,Bulk,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella,Blastocatella,ASV37_Blastocatella
ASV372,-0.020357381,0.55356612,-0.036774976,0.970968605,0.979818579,FALSE,TRUE,Bulk,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,Chitinophagaceae,ASV372_Chitinophagaceae
ASV373,-3.464932973,0.578924549,-5.985120128,3.53E-06,6.49E-05,TRUE,TRUE,Bulk,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomataceae,Spirosoma,Spirosoma,ASV373_Spirosoma
ASV375,-2.056485829,0.626191731,-3.284115277,0.003130875,0.010325552,TRUE,TRUE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,NA,Paracoccaceae,ASV375_Paracoccaceae
ASV376,0.406545039,0.570946944,0.712053972,0.4832964,0.616043931,FALSE,TRUE,Bulk,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 Bulk group,NA,WD2101_Bulk_group,ASV376_WD2101_Bulk_group
ASV3780,-1.316966402,0.408095718,-3.227101744,0.003596517,0.011517773,FALSE,FALSE,Bulk,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,Roseisolibacter,Roseisolibacter,ASV3780_Roseisolibacter
ASV379,-0.805231275,0.725674328,-1.109631751,0.2781528,0.40368618,FALSE,TRUE,Bulk,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tundrisphaera,Tundrisphaera,ASV379_Tundrisphaera
ASV382,-0.224722322,0.505705008,-0.444374327,0.660753288,0.764467661,FALSE,TRUE,Bulk,Bacteria,Chloroflexota,Anaerolineae,Caldilineales,Caldilineaceae,Litorilinea,Litorilinea,ASV382_Litorilinea
ASV385,-1.204221804,0.630301356,-1.910549282,0.068080883,0.129004117,FALSE,TRUE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingoaurantiacus,Sphingoaurantiacus,ASV385_Sphingoaurantiacus
ASV386,-1.222674273,0.62353998,-1.960859467,0.06160003,0.119052427,FALSE,TRUE,Bulk,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,Segetibacter,ASV386_Segetibacter
ASV387,-1.655856282,0.49324813,-3.357045232,0.002619714,0.009104386,TRUE,TRUE,Bulk,Bacteria,Chloroflexota,Chloroflexia,Kallotenuales,AKIW781,NA,AKIW781,ASV387_AKIW781
ASV39,-1.772423126,0.263570273,-6.724670073,5.90E-07,2.08E-05,TRUE,TRUE,Bulk,Bacteria,Actinomycetota,Actinobacteria,Frankiales,Geodermatophilaceae,Geodermatophilus,Geodermatophilus,ASV39_Geodermatophilus
ASV390,0.950528988,0.64991654,1.462540079,0.156566231,0.254379096,FALSE,TRUE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Tistrellales,Geminicoccaceae,Candidatus Alysiosphaera,Candidatus_Alysiosphaera,ASV390_Candidatus_Alysiosphaera
ASV391,2.029096546,0.600509388,3.37895891,0.002482638,0.008772936,TRUE,TRUE,Bulk,Bacteria,Chloroflexota,Chloroflexia,Kallotenuales,AKIW781,NA,AKIW781,ASV391_AKIW781
ASV394,0.254268835,0.415494557,0.611966707,0.546314188,0.672053168,FALSE,TRUE,Bulk,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,Segetibacter,ASV394_Segetibacter
ASV395,-2.18048405,0.463233436,-4.707095558,8.75E-05,7.21E-04,TRUE,TRUE,Bulk,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Herpetosiphonaceae,Herpetosiphon,Herpetosiphon,ASV395_Herpetosiphon
ASV396,-2.699702032,0.416305775,-6.484901707,1.05E-06,3.14E-05,TRUE,TRUE,Bulk,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus,ASV396_Deinococcus
ASV398,-0.921946631,0.596621312,-1.545279414,0.135363999,0.224948199,FALSE,TRUE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Rubellimicrobium,Rubellimicrobium,ASV398_Rubellimicrobium
ASV4,-1.149176811,0.251864481,-4.562679121,1.26E-04,9.87E-04,TRUE,TRUE,Bulk,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Ramlibacter,Ramlibacter,ASV4_Ramlibacter
ASV400,-1.77617537,0.514044517,-3.455294847,0.002057481,0.007810037,TRUE,TRUE,Bulk,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,JG30-KF-CM45,ASV400_JG30-KF-CM45
ASV402,2.860324926,0.413857587,6.911374869,3.79E-07,1.47E-05,TRUE,TRUE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Oceanicella,Oceanicella,ASV402_Oceanicella
ASV407,0.726485779,0.746917266,0.972645582,0.340431215,0.473670003,FALSE,TRUE,Bulk,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas,ASV407_Gemmatimonas
ASV408,-0.789612235,0.483023759,-1.634727526,0.115156406,0.197447378,FALSE,TRUE,Bulk,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,Segetibacter,ASV408_Segetibacter
ASV410,2.01613081,0.480931651,4.192135839,3.24E-04,0.001976583,TRUE,TRUE,Bulk,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Rhodocytophaga,Rhodocytophaga,ASV410_Rhodocytophaga
ASV411,-3.103006975,0.432996466,-7.166356347,2.09E-07,1.01E-05,TRUE,TRUE,Bulk,Bacteria,Chloroflexota,Chloroflexia,Kallotenuales,AKIW781,NA,AKIW781,ASV411_AKIW781
ASV412,-1.378609956,0.561162237,-2.45670479,0.021635392,0.050201884,FALSE,TRUE,Bulk,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,Roseisolibacter,Roseisolibacter,ASV412_Roseisolibacter
ASV413,-2.68639077,0.643738514,-4.173108663,3.40E-04,0.002058126,TRUE,TRUE,Bulk,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,Chthoniobacter,ASV413_Chthoniobacter
ASV414,0.29355072,0.742905093,0.395138925,0.696230504,0.791171027,FALSE,TRUE,Bulk,Bacteria,Actinomycetota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,Pseudonocardia,ASV414_Pseudonocardia
ASV416,0.034484958,0.469563464,0.073440462,0.942064283,0.963192373,FALSE,TRUE,Bulk,Bacteria,Abditibacteriota,Abditibacteriia,Abditibacteriales,Abditibacteriaceae,Abditibacterium,Abditibacterium,ASV416_Abditibacterium
ASV417,-0.073684802,0.428396395,-0.172001452,0.864878532,0.919452486,FALSE,TRUE,Bulk,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,NA,Gemmatimonadaceae,ASV417_Gemmatimonadaceae
ASV418,-1.594641367,0.677059761,-2.35524463,0.027022678,0.059495953,FALSE,TRUE,Bulk,Bacteria,Actinomycetota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29 marine group,CL500-29_marine_group,ASV418_CL500-29_marine_group
ASV419,0.305500156,0.509655886,0.599424365,0.554507108,0.678898908,FALSE,TRUE,Bulk,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,NA,Deinococcaceae,ASV419_Deinococcaceae
ASV42,2.246070265,0.759732956,2.956394411,0.006881547,0.018912052,TRUE,TRUE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Ellin6055,Ellin6055,ASV42_Ellin6055
ASV420,-0.283294059,0.531375532,-0.533133429,0.598843966,0.717316961,FALSE,TRUE,Bulk,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Intrasporangiaceae,Aquipuribacter,Aquipuribacter,ASV420_Aquipuribacter
ASV421,-0.480581856,0.287063481,-1.674130942,0.107089591,0.186924398,FALSE,TRUE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,NA,Acetobacteraceae,ASV421_Acetobacteraceae
ASV4214,-1.312263227,0.456713865,-2.873272142,0.008368995,0.022365417,FALSE,FALSE,Bulk,Bacteria,Bdellovibrionota,Oligoflexia,Silvanigrellales,Silvanigrellaceae,NA,Silvanigrellaceae,ASV4214_Silvanigrellaceae
ASV422,1.268898647,0.806077625,1.574164334,0.128541011,0.21656366,FALSE,TRUE,Bulk,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus,ASV422_Myxococcus
ASV424,1.03574997,0.549205592,1.885905722,0.071467611,0.134109923,FALSE,TRUE,Bulk,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tautonia,Tautonia,ASV424_Tautonia
ASV4246,-1.337889722,0.390467569,-3.426378598,0.002209459,0.008060613,TRUE,TRUE,Bulk,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 Bulk group,NA,WD2101_Bulk_group,ASV4246_WD2101_Bulk_group
ASV425,-3.35447972,0.408186427,-8.218008974,1.95E-08,1.38E-06,TRUE,TRUE,Bulk,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus,ASV425_Deinococcus
ASV426,-0.166343928,0.591753059,-0.281103621,0.781040204,0.853746345,FALSE,TRUE,Bulk,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Parviterribacter,Parviterribacter,ASV426_Parviterribacter
ASV427,0.395423282,0.86716767,0.455994031,0.652493649,0.761570148,FALSE,TRUE,Bulk,Bacteria,Gemmatimonadota,Longimicrobiia,Longimicrobiales,Longimicrobiaceae,NA,Longimicrobiaceae,ASV427_Longimicrobiaceae
ASV43,-2.030417658,0.682619975,-2.974448057,0.00659363,0.018447882,FALSE,FALSE,Bulk,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,Arenimicrobium,Arenimicrobium,ASV43_Arenimicrobium
ASV430,-2.118740722,0.44007975,-4.814447204,6.66E-05,6.07E-04,TRUE,TRUE,Bulk,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus,ASV430_Deinococcus
ASV431,-0.923378949,0.53658159,-1.720854696,0.098146241,0.172479221,FALSE,TRUE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Enterovirga,Enterovirga,ASV431_Enterovirga
ASV432,-1.542045927,0.540232387,-2.854412218,0.008746707,0.023056795,FALSE,FALSE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Rubritepida,Rubritepida,ASV432_Rubritepida
ASV433,-0.713859141,0.58503268,-1.22020387,0.234242139,0.353186104,FALSE,TRUE,Bulk,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas,ASV433_Gemmatimonas
ASV434,0.510565965,0.481533085,1.060292598,0.299565951,0.431357157,FALSE,TRUE,Bulk,Bacteria,Gemmatimonadota,Longimicrobiia,Longimicrobiales,Longimicrobiaceae,NA,Longimicrobiaceae,ASV434_Longimicrobiaceae
ASV438,-4.039674844,0.433089676,-9.327571326,1.88E-09,2.08E-07,TRUE,TRUE,Bulk,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,Segetibacter,ASV438_Segetibacter
ASV439,-1.975228959,0.499196656,-3.956815282,5.88E-04,0.003137571,TRUE,TRUE,Bulk,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,Chthoniobacter,ASV439_Chthoniobacter
ASV44,-0.899993113,0.292738172,-3.074396163,0.00519682,0.015550329,FALSE,FALSE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas,ASV44_Sphingomonas
ASV442,-2.247066525,0.619298867,-3.628404066,0.001339464,0.005779565,TRUE,TRUE,Bulk,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas,ASV442_Gemmatimonas
ASV445,-1.592188738,0.541202158,-2.941948243,0.007120536,0.01943104,FALSE,FALSE,Bulk,Bacteria,Chloroflexota,Anaerolineae,Caldilineales,Caldilineaceae,NA,Caldilineaceae,ASV445_Caldilineaceae
ASV45,0.530795729,0.651030038,0.815316802,0.422908785,0.557405286,FALSE,TRUE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,Sphingomonadaceae,ASV45_Sphingomonadaceae
ASV450,0.780165514,0.575861458,1.354779874,0.188104533,0.294507097,FALSE,TRUE,Bulk,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,NA,Armatimonadaceae,ASV450_Armatimonadaceae
ASV451,-0.559003919,0.75600482,-0.739418458,0.466824184,0.601977941,FALSE,TRUE,Bulk,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,Roseisolibacter,Roseisolibacter,ASV451_Roseisolibacter
ASV4530,-0.246153092,0.348942553,-0.705425836,0.487336207,0.619156657,FALSE,TRUE,Bulk,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,Bryobacter,ASV4530_Bryobacter
ASV456,-0.057102225,0.634311258,-0.090022406,0.929016492,0.956159072,FALSE,TRUE,Bulk,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,Chthoniobacter,ASV456_Chthoniobacter
ASV458,-0.261557651,0.438786741,-0.596092876,0.556694006,0.680501348,FALSE,TRUE,Bulk,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,NA,Gemmatimonadaceae,ASV458_Gemmatimonadaceae
ASV459,1.85506391,0.569386665,3.258003787,0.003336399,0.010773788,TRUE,TRUE,Bulk,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,Truepera,Truepera,ASV459_Truepera
ASV46,-1.248772401,0.277756015,-4.495932884,1.50E-04,0.001098267,TRUE,TRUE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Rubellimicrobium,Rubellimicrobium,ASV46_Rubellimicrobium
ASV462,-3.752470904,0.53307014,-7.039356779,2.81E-07,1.21E-05,TRUE,TRUE,Bulk,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavisolibacter,Flavisolibacter,ASV462_Flavisolibacter
ASV463,2.077856536,0.549120743,3.783970214,9.08E-04,0.004370027,TRUE,TRUE,Bulk,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,NA,Gemmatimonadaceae,ASV463_Gemmatimonadaceae
ASV464,-1.384239017,0.565435762,-2.448092445,0.02205091,0.051013299,FALSE,TRUE,Bulk,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Caenimonas,Caenimonas,ASV464_Caenimonas
ASV465,-2.16174007,0.657891627,-3.285860439,0.003117585,0.010325552,FALSE,FALSE,Bulk,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,Segetibacter,ASV465_Segetibacter
ASV466,-0.642738901,0.744230886,-0.863628362,0.396341248,0.53234743,FALSE,TRUE,Bulk,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,Roseisolibacter,Roseisolibacter,ASV466_Roseisolibacter
ASV469,-0.053964225,0.516620078,-0.104456306,0.917675294,0.947989394,FALSE,TRUE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Amaricoccus,Amaricoccus,ASV469_Amaricoccus
ASV47,-0.42396396,0.243263373,-1.742818721,0.094166194,0.166736172,FALSE,TRUE,Bulk,Bacteria,Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,Rubrobacter,ASV47_Rubrobacter
ASV470,-1.48676402,0.664150439,-2.238595254,0.034720808,0.072923106,FALSE,TRUE,Bulk,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,NA,Acidimicrobiaceae,ASV470_Acidimicrobiaceae
ASV471,2.281681778,0.515530911,4.425887426,1.79E-04,0.001260005,TRUE,TRUE,Bulk,Bacteria,Chloroflexota,Anaerolineae,Caldilineales,Caldilineaceae,NA,Caldilineaceae,ASV471_Caldilineaceae
ASV473,-3.962440615,0.536333838,-7.3880116,1.25E-07,6.94E-06,TRUE,TRUE,Bulk,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Marmoricola,Marmoricola,ASV473_Marmoricola
ASV475,-0.169854701,0.429683303,-0.395302074,0.696111712,0.791171027,FALSE,TRUE,Bulk,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,Gemmata,ASV475_Gemmata
ASV477,0.680889746,0.414223871,1.64377235,0.113261075,0.194631763,FALSE,FALSE,Bulk,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,NA,Acidimicrobiaceae,ASV477_Acidimicrobiaceae
ASV479,-0.848144666,0.63092595,-1.344285595,0.191425763,0.29825839,FALSE,TRUE,Bulk,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomataceae,Nibrella,Nibrella,ASV479_Nibrella
ASV481,-0.084216254,0.611889745,-0.137633053,0.891678625,0.932617643,FALSE,TRUE,Bulk,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,67-14,NA,67-14,ASV481_67-14
ASV483,0.267036923,0.418587402,0.637947826,0.529548013,0.65674097,FALSE,TRUE,Bulk,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,Chthoniobacter,ASV483_Chthoniobacter
ASV484,0.165730572,0.405197631,0.4090117,0.686158109,0.782018433,FALSE,TRUE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,PMMR1,PMMR1,ASV484_PMMR1
ASV485,1.583269139,0.521384979,3.036660436,0.005687137,0.016507609,TRUE,TRUE,Bulk,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,NA,Isosphaeraceae,ASV485_Isosphaeraceae
ASV486,-1.71778686,0.558666433,-3.074798766,0.005191814,0.015550329,FALSE,FALSE,Bulk,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,NA,Chthoniobacteraceae,ASV486_Chthoniobacteraceae
ASV487,3.091249525,0.447139033,6.913396719,3.78E-07,1.47E-05,TRUE,TRUE,Bulk,Bacteria,Chloroflexota,Chloroflexia,Kallotenuales,AKIW781,NA,AKIW781,ASV487_AKIW781
ASV489,-0.706579087,0.474113377,-1.490316708,0.149167339,0.243891747,FALSE,TRUE,Bulk,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,NA,Fimbriimonadaceae,ASV489_Fimbriimonadaceae
ASV491,-1.981340855,0.472554045,-4.1928344,3.23E-04,0.001976583,TRUE,TRUE,Bulk,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,Chthoniobacter,ASV491_Chthoniobacter
ASV492,-1.729030036,0.582245924,-2.969587186,0.006669998,0.018594418,FALSE,FALSE,Bulk,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,Solirubrobacter,ASV492_Solirubrobacter
ASV493,-1.908186776,0.579142803,-3.294846739,0.00305001,0.010277206,FALSE,FALSE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Paracoccus,Paracoccus,ASV493_Paracoccus
ASV494,1.079597684,0.578732393,1.865452318,0.074389043,0.138585356,FALSE,FALSE,Bulk,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,Gaiella,ASV494_Gaiella
ASV495,-1.076259155,0.284070231,-3.788707997,8.97E-04,0.004345378,TRUE,TRUE,Bulk,Bacteria,Abditibacteriota,Abditibacteriia,Abditibacteriales,Abditibacteriaceae,Abditibacterium,Abditibacterium,ASV495_Abditibacterium
ASV496,1.806671877,0.535712404,3.372466014,0.002522509,0.008845903,TRUE,TRUE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas,ASV496_Sphingomonas
ASV498,-2.656521596,0.611364889,-4.345230885,2.20E-04,0.001505783,TRUE,TRUE,Bulk,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia,ASV498_Massilia
ASV499,-0.427805258,0.830220428,-0.515291173,0.611063601,0.728575831,FALSE,TRUE,Bulk,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tautonia,Tautonia,ASV499_Tautonia
ASV50,-2.346629387,0.587737383,-3.992649534,5.37E-04,0.003010705,TRUE,TRUE,Bulk,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Lysobacter,Lysobacter,ASV50_Lysobacter
ASV507,0.663269153,0.732531517,0.90544794,0.374228679,0.50971393,FALSE,TRUE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Azospirillales,Azospirillaceae,Desertibacter,Desertibacter,ASV507_Desertibacter
ASV508,-2.332166431,0.579041058,-4.02763569,4.91E-04,0.002841802,TRUE,TRUE,Bulk,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter,ASV508_Hymenobacter
ASV511,-0.818244939,0.644234797,-1.270103608,0.216223938,0.329869196,FALSE,TRUE,Bulk,Bacteria,Actinomycetota,Actinobacteria,Kitasatosporales,Streptomycetaceae,E1B-B3-114,E1B-B3-114,ASV511_E1B-B3-114
ASV512,-1.179757029,0.395420804,-2.983548203,0.0064529,0.018251817,FALSE,FALSE,Bulk,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Fimbriiglobus,Fimbriiglobus,ASV512_Fimbriiglobus
ASV516,-1.498132798,0.824456413,-1.817115829,0.081708152,0.148997218,FALSE,TRUE,Bulk,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Marmoricola,Marmoricola,ASV516_Marmoricola
ASV517,-0.451205201,0.615571194,-0.732986217,0.470666092,0.605923956,FALSE,TRUE,Bulk,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 Bulk group,NA,WD2101_Bulk_group,ASV517_WD2101_Bulk_group
ASV52,-0.30431744,0.615326706,-0.494562379,0.625405981,0.739984176,FALSE,TRUE,Bulk,Bacteria,Gemmatimonadota,Longimicrobiia,Longimicrobiales,Longimicrobiaceae,NA,Longimicrobiaceae,ASV52_Longimicrobiaceae
ASV520,2.33820261,0.460268624,5.08008256,3.39E-05,3.60E-04,TRUE,TRUE,Bulk,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter,ASV520_Hymenobacter
ASV525,0.226489512,0.590565253,0.383513101,0.704715691,0.795966629,FALSE,TRUE,Bulk,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,NA,Armatimonadaceae,ASV525_Armatimonadaceae
ASV531,-0.79411869,0.521855452,-1.521721555,0.14114649,0.233237804,FALSE,TRUE,Bulk,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Aridibacter,Aridibacter,ASV531_Aridibacter
ASV532,1.662271194,0.459236501,3.619640838,0.00136902,0.005829619,TRUE,TRUE,Bulk,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 Bulk group,NA,WD2101_Bulk_group,ASV532_WD2101_Bulk_group
ASV534,-0.11290005,0.544036604,-0.207522894,0.837352338,0.90006666,FALSE,TRUE,Bulk,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium,ASV534_Flavobacterium
ASV535,-1.636524403,0.448225053,-3.651122112,0.001265722,0.005573492,TRUE,TRUE,Bulk,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter,ASV535_Hymenobacter
ASV538,2.444913102,0.464207175,5.266857632,2.12E-05,2.49E-04,TRUE,TRUE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,Sphingomonadaceae,ASV538_Sphingomonadaceae
ASV539,-0.138011192,0.476489127,-0.28964185,0.774577796,0.848368375,FALSE,TRUE,Bulk,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,Vicinamibacteraceae,ASV539_Vicinamibacteraceae
ASV54,-1.098388545,0.30928817,-3.551343539,0.001622316,0.006582694,TRUE,TRUE,Bulk,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus,ASV54_Deinococcus
ASV542,-3.658507202,0.437770892,-8.357127592,1.44E-08,1.15E-06,TRUE,TRUE,Bulk,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 Bulk group,NA,WD2101_Bulk_group,ASV542_WD2101_Bulk_group
ASV547,2.644262119,0.271001145,9.757383584,7.92E-10,1.15E-07,TRUE,TRUE,Bulk,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter,ASV547_Hymenobacter
ASV548,-2.937832559,0.531894307,-5.52333898,1.11E-05,1.72E-04,TRUE,TRUE,Bulk,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Luteitalea,Luteitalea,ASV548_Luteitalea
ASV549,-0.528844221,0.664156781,-0.796264129,0.43368472,0.567746044,FALSE,TRUE,Bulk,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Arcticibacter,Arcticibacter,ASV549_Arcticibacter
