taxon,lfc,se,W,p,q,diff_robust,passed_ss,Fraction,Kingdom,Phylum,Class,Order,Family,Genus,Lowest,label
ASV1267,-2.146104307,0.493281909,-4.350664939,2.17E-04,0.001498384,TRUE,TRUE,Bulk,Bacteria,Chloroflexota,Chloroflexia,Kallotenuales,AKIW781,NA,AKIW781,ASV1267_AKIW781
ASV1269,-2.750968195,0.460214468,-5.977578679,3.60E-06,6.49E-05,TRUE,TRUE,Bulk,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavisolibacter,Flavisolibacter,ASV1269_Flavisolibacter
ASV127,-1.040400756,0.455728123,-2.282941745,0.03158533,0.067620528,FALSE,TRUE,Bulk,Bacteria,Chloroflexota,Anaerolineae,Aggregatilineales,A4b,NA,A4b,ASV127_A4b
ASV1273,-2.489506955,0.550218093,-4.524582139,1.39E-04,0.001046846,TRUE,TRUE,Bulk,Bacteria,Actinomycetota,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes,ASV1273_Actinoplanes
ASV1276,1.821079767,0.357749034,5.090383464,3.31E-05,3.56E-04,TRUE,TRUE,Bulk,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tautonia,Tautonia,ASV1276_Tautonia
ASV128,0.339992482,0.765445346,0.44417604,0.660894623,0.764467661,FALSE,TRUE,Bulk,Bacteria,Gemmatimonadota,Longimicrobiia,Longimicrobiales,Longimicrobiaceae,Longimicrobium,Longimicrobium,ASV128_Longimicrobium
ASV1281,1.627626543,0.454275017,3.582910093,0.001500008,0.006216609,TRUE,TRUE,Bulk,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,Roseisolibacter,Roseisolibacter,ASV1281_Roseisolibacter
ASV1285,-0.974799008,0.436483623,-2.233300302,0.035113495,0.073548538,FALSE,TRUE,Bulk,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,Bryobacter,ASV1285_Bryobacter
ASV1286,0.075233106,0.540612159,0.139162808,0.890482688,0.932617643,FALSE,TRUE,Bulk,Bacteria,Chloroflexota,Chloroflexia,Kallotenuales,AKIW781,NA,AKIW781,ASV1286_AKIW781
ASV1289,0.925566111,0.501887553,1.844170285,0.07753841,0.143076827,FALSE,FALSE,Bulk,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,JG30-KF-CM45,ASV1289_JG30-KF-CM45
ASV1290,-1.213281322,0.505737653,-2.399033003,0.02456183,0.055412664,FALSE,TRUE,Bulk,Bacteria,Chloroflexota,Chloroflexia,Kallotenuales,AKIW781,NA,AKIW781,ASV1290_AKIW781
ASV1291,-0.758808859,0.565871626,-1.340955837,0.1924891,0.298956018,FALSE,TRUE,Bulk,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,NA,Armatimonadaceae,ASV1291_Armatimonadaceae
ASV1296,-2.51044252,0.455629855,-5.509828848,1.15E-05,1.75E-04,TRUE,TRUE,Bulk,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavisolibacter,Flavisolibacter,ASV1296_Flavisolibacter
ASV1299,-0.893217144,0.362810346,-2.461939564,0.021386383,0.049923034,FALSE,FALSE,Bulk,Bacteria,Chloroflexota,Chloroflexia,Kallotenuales,AKIW781,NA,AKIW781,ASV1299_AKIW781
