taxon,lfc,se,W,p,q,diff_robust,passed_ss,Biocrust,Kingdom,Phylum,Class,Order,Family,Genus,Lowest,label
ASV1863,-3.250796406,0.409237863,-7.943537733,3.58E-08,1.94E-06,TRUE,TRUE,L-BSC,Bacteria,Actinomycetota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29 marine group,CL500-29_marine_group,ASV1863_CL500-29_marine_group
ASV1867,0.095656984,0.502577288,0.190332884,0.850649061,0.915600097,FALSE,TRUE,L-BSC,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavisolibacter,Flavisolibacter,ASV1867_Flavisolibacter
ASV1870,0.177230871,0.646664181,0.27406941,0.786376386,0.88054239,FALSE,TRUE,L-BSC,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,NA,Armatimonadaceae,ASV1870_Armatimonadaceae
ASV1872,-0.419294094,0.429572798,-0.976072264,0.338765174,0.54381842,FALSE,TRUE,L-BSC,Bacteria,Myxococcota,Polyangiia,Polyangiales,Polyangiaceae,Jahnella,Jahnella,ASV1872_Jahnella
ASV1879,-0.238419074,0.517452638,-0.460755356,0.649122123,0.808605457,FALSE,TRUE,L-BSC,Bacteria,Chloroflexota,Anaerolineae,Aggregatilineales,A4b,NA,A4b,ASV1879_A4b
ASV1884,-1.603466541,0.572710783,-2.799784096,0.009934162,0.041345035,TRUE,TRUE,L-BSC,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Cystobacter,Cystobacter,ASV1884_Cystobacter
ASV1889,0.738672424,0.650096982,1.136249582,0.267071155,0.464056042,FALSE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Roseiflexaceae,NA,Roseiflexaceae,ASV1889_Roseiflexaceae
ASV189,-0.669873665,0.588993476,-1.137319328,0.266632635,0.464056042,FALSE,TRUE,L-BSC,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,JGI 0001001-H03,JGI_0001001-H03,ASV189_JGI_0001001-H03
ASV1892,0.159659322,0.476599805,0.334996616,0.740538003,0.859785613,FALSE,TRUE,L-BSC,Bacteria,Sumerlaeota,Sumerlaeia,Sumerlaeales,Sumerlaeaceae,Sumerlaea,Sumerlaea,ASV1892_Sumerlaea
ASV19,-0.775453627,0.547224963,-1.41706552,0.16931515,0.331054679,FALSE,TRUE,L-BSC,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Aridibacter,Aridibacter,ASV19_Aridibacter
ASV1901,-0.881368612,0.459284484,-1.919003674,0.066951759,0.172613091,FALSE,TRUE,L-BSC,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,67-14,NA,67-14,ASV1901_67-14
ASV1904,-1.237436821,0.492078559,-2.51471396,0.019020118,0.066229416,FALSE,TRUE,L-BSC,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,Bryobacter,ASV1904_Bryobacter
ASV1906,0.495616333,0.578981928,0.856013477,0.400456347,0.608693647,FALSE,TRUE,L-BSC,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,NA,Armatimonadaceae,ASV1906_Armatimonadaceae
ASV1909,-0.82759308,0.492308457,-1.681045833,0.10572418,0.238151889,FALSE,TRUE,L-BSC,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Methylobacterium,Methylobacterium,ASV1909_Methylobacterium
ASV1910,-0.661592783,0.462904377,-1.429221272,0.165828663,0.327621706,FALSE,TRUE,L-BSC,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,NA,Deinococcaceae,ASV1910_Deinococcaceae
ASV1911,0.487591103,0.607841357,0.802168358,0.430327434,0.632111223,FALSE,TRUE,L-BSC,Bacteria,Actinomycetota,Actinobacteria,Frankiales,Cryptosporangiaceae,Cryptosporangium,Cryptosporangium,ASV1911_Cryptosporangium
ASV192,1.147586468,0.752426531,1.52518076,0.140284952,0.289172283,FALSE,TRUE,L-BSC,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella,Blastocatella,ASV192_Blastocatella
ASV193,-3.361714022,0.625660881,-5.373060905,1.62E-05,2.88E-04,TRUE,TRUE,L-BSC,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Micrococcaceae,NA,Micrococcaceae,ASV193_Micrococcaceae
ASV1930,-2.006036987,0.51414619,-3.901685991,6.75E-04,0.005222803,TRUE,TRUE,L-BSC,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tautonia,Tautonia,ASV1930_Tautonia
ASV1933,-1.45611242,0.514601521,-2.829592142,0.009268494,0.038947599,TRUE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,JG30-KF-CM45,ASV1933_JG30-KF-CM45
ASV194,-2.717072409,0.54759151,-4.961860001,4.58E-05,6.56E-04,TRUE,TRUE,L-BSC,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Belnapia,Belnapia,ASV194_Belnapia
ASV1943,0.131501974,0.54099538,0.243074117,0.810013491,0.893878524,FALSE,TRUE,L-BSC,Bacteria,Abditibacteriota,Abditibacteriia,Abditibacteriales,Abditibacteriaceae,Abditibacterium,Abditibacterium,ASV1943_Abditibacterium
ASV1947,-1.266088739,0.502554471,-2.51930649,0.018826141,0.066083179,FALSE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,JG30-KF-CM45,ASV1947_JG30-KF-CM45
ASV1957,0.060996558,0.662812968,0.092026802,0.927440597,0.954750391,FALSE,TRUE,L-BSC,Bacteria,Chloroflexota,Anaerolineae,Aggregatilineales,A4b,OLB13,OLB13,ASV1957_OLB13
ASV196,0.350275857,0.679137637,0.515765639,0.610737135,0.791964771,FALSE,TRUE,L-BSC,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,Luteolibacter,ASV196_Luteolibacter
ASV1963,-0.063225885,0.505390576,-0.125103016,0.901484012,0.937972651,FALSE,TRUE,L-BSC,Bacteria,Myxococcota,Polyangiia,Polyangiales,Phaselicystaceae,Phaselicystis,Phaselicystis,ASV1963_Phaselicystis
ASV1965,-0.485143874,0.588137348,-0.824881935,0.417562277,0.62384518,FALSE,TRUE,L-BSC,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter,ASV1965_Pedobacter
ASV1976,0.6103148,0.583458445,1.046029594,0.305968751,0.507195295,FALSE,TRUE,L-BSC,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,NA,Armatimonadaceae,ASV1976_Armatimonadaceae
ASV1982,-0.405269359,0.463867576,-0.873674686,0.390953892,0.598256198,FALSE,TRUE,L-BSC,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,WD2101_soil_group,ASV1982_WD2101_soil_group
ASV1987,0.728407814,0.595425646,1.223339672,0.233077468,0.423512904,FALSE,TRUE,L-BSC,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Fimbriiglobus,Fimbriiglobus,ASV1987_Fimbriiglobus
ASV1988,0.339963567,0.558373386,0.608846295,0.548346533,0.737315185,FALSE,TRUE,L-BSC,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,NA,Isosphaeraceae,ASV1988_Isosphaeraceae
ASV1989,-1.580835993,0.526828549,-3.000665011,0.006195939,0.028969865,TRUE,TRUE,L-BSC,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Aurantisolimonas,Aurantisolimonas,ASV1989_Aurantisolimonas
ASV199,-0.565073355,0.690893552,-0.817887725,0.421467572,0.62665289,FALSE,TRUE,L-BSC,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Rhizorhabdus,Rhizorhabdus,ASV199_Rhizorhabdus
ASV1993,0.310524481,0.628658428,0.493947854,0.625833524,0.800576579,FALSE,TRUE,L-BSC,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Pedosphaerales,Pedosphaeraceae,Pedosphaera,Pedosphaera,ASV1993_Pedosphaera
ASV1994,0.256432364,0.55795239,0.459595423,0.649942779,0.808605457,FALSE,TRUE,L-BSC,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,JCM 18997,JCM_18997,ASV1994_JCM_18997
ASV1999,0.558832593,0.637528038,0.876561593,0.38941457,0.59815173,FALSE,TRUE,L-BSC,Bacteria,Abditibacteriota,Abditibacteriia,Abditibacteriales,Abditibacteriaceae,Abditibacterium,Abditibacterium,ASV1999_Abditibacterium
ASV20,4.26608671,0.60196191,7.08697119,2.51E-07,9.55E-06,TRUE,TRUE,L-BSC,Bacteria,Abditibacteriota,Abditibacteriia,Abditibacteriales,Abditibacteriaceae,Abditibacterium,Abditibacterium,ASV20_Abditibacterium
ASV2006,0.451569171,0.59869929,0.754250386,0.458036098,0.651992752,FALSE,TRUE,L-BSC,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,NA,Acidimicrobiaceae,ASV2006_Acidimicrobiaceae
ASV2008,-0.833935345,0.5722225,-1.457362031,0.157977725,0.314516018,FALSE,TRUE,L-BSC,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,NA,Armatimonadaceae,ASV2008_Armatimonadaceae
ASV201,-1.027917485,0.789476607,-1.302023994,0.205266494,0.384984797,FALSE,TRUE,L-BSC,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,NA,Acidimicrobiaceae,ASV201_Acidimicrobiaceae
ASV2018,-0.438863024,0.452272627,-0.97035062,0.341550135,0.546654062,FALSE,TRUE,L-BSC,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,NA,Solirubrobacteraceae,ASV2018_Solirubrobacteraceae
ASV202,-5.29863652,0.344061284,-15.40026957,6.11E-14,5.34E-11,TRUE,TRUE,L-BSC,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Microlunatus,Microlunatus,ASV202_Microlunatus
ASV2032,1.056560506,0.71433183,1.479089217,0.152123157,0.306349398,FALSE,TRUE,L-BSC,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,Segetibacter,ASV2032_Segetibacter
ASV2045,-0.865899886,0.628649754,-1.377396364,0.181100721,0.350957939,FALSE,TRUE,L-BSC,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides,ASV2045_Nocardioides
ASV2051,0.510003486,0.533799928,0.955420673,0.348890349,0.55041546,FALSE,TRUE,L-BSC,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,NA,Acidimicrobiaceae,ASV2051_Acidimicrobiaceae
ASV206,3.88627579,0.610608845,6.364591374,1.40E-06,4.22E-05,TRUE,TRUE,L-BSC,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,NA,Armatimonadaceae,ASV206_Armatimonadaceae
ASV207,1.099921519,0.679500068,1.618721722,0.118575374,0.257798201,FALSE,TRUE,L-BSC,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella,Blastocatella,ASV207_Blastocatella
ASV2070,-0.388309872,0.504125467,-0.770264345,0.448659342,0.648746023,FALSE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Roseiflexaceae,NA,Roseiflexaceae,ASV2070_Roseiflexaceae
ASV2074,-0.442834956,0.550921896,-0.803807145,0.429398432,0.631808468,FALSE,TRUE,L-BSC,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,WD2101_soil_group,ASV2074_WD2101_soil_group
ASV2077,0.147801577,0.512134718,0.28859902,0.775366213,0.875542727,FALSE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Kallotenuales,AKIW781,NA,AKIW781,ASV2077_AKIW781
ASV208,0.285697538,0.752074808,0.379879149,0.707376057,0.845754684,FALSE,TRUE,L-BSC,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,NA,Blastocatellaceae,ASV208_Blastocatellaceae
ASV2087,1.210462443,0.585335189,2.067981672,0.049583284,0.138453003,FALSE,TRUE,L-BSC,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,Solirubrobacter,ASV2087_Solirubrobacter
ASV2093,0.013378157,0.55501291,0.024104227,0.980968769,0.988039194,FALSE,TRUE,L-BSC,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavisolibacter,Flavisolibacter,ASV2093_Flavisolibacter
ASV2097,0.440280594,0.640286141,0.687630992,0.498277394,0.694568489,FALSE,TRUE,L-BSC,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Cytophaga,Cytophaga,ASV2097_Cytophaga
ASV21,1.095556259,0.639953799,1.711930237,0.099803777,0.228513022,FALSE,TRUE,L-BSC,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Rubellimicrobium,Rubellimicrobium,ASV21_Rubellimicrobium
ASV210,-0.285599165,0.606828427,-0.470642364,0.642145502,0.808605457,FALSE,TRUE,L-BSC,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella,Blastocatella,ASV210_Blastocatella
ASV2109,-1.103923743,0.538716394,-2.049174213,0.051528781,0.142069888,FALSE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Roseiflexaceae,NA,Roseiflexaceae,ASV2109_Roseiflexaceae
ASV2110,-0.387625197,0.606877866,-0.638720274,0.529053824,0.723584546,FALSE,TRUE,L-BSC,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Cnuella,Cnuella,ASV2110_Cnuella
ASV2112,-1.20559727,0.5183068,-2.326030198,0.028788209,0.091494164,FALSE,TRUE,L-BSC,Bacteria,Myxococcota,Polyangiia,Haliangiales,Haliangiaceae,NA,Haliangiaceae,ASV2112_Haliangiaceae
ASV212,-1.233197169,0.668785861,-1.843934271,0.077573973,0.190448463,FALSE,TRUE,L-BSC,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavisolibacter,Flavisolibacter,ASV212_Flavisolibacter
ASV2120,-0.517405882,0.634781534,-0.815092837,0.423034481,0.627728585,FALSE,TRUE,L-BSC,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,NA,Paracoccaceae,ASV2120_Paracoccaceae
ASV2135,0.080220777,0.490890542,0.163418869,0.871556983,0.928917291,FALSE,TRUE,L-BSC,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,Gemmata,ASV2135_Gemmata
ASV214,1.732379576,0.713747547,2.427160111,0.023091765,0.076738414,FALSE,TRUE,L-BSC,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,NA,Deinococcaceae,ASV214_Deinococcaceae
ASV2142,-1.403925681,0.507703382,-2.765247839,0.010761974,0.044121139,TRUE,TRUE,L-BSC,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,Pirellula,ASV2142_Pirellula
ASV2145,0.360840873,0.481005227,0.750180772,0.46043752,0.652239257,FALSE,TRUE,L-BSC,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Zavarzinella,Zavarzinella,ASV2145_Zavarzinella
ASV2154,-0.798807498,0.461464399,-1.731027355,0.096285446,0.22440928,FALSE,TRUE,L-BSC,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tundrisphaera,Tundrisphaera,ASV2154_Tundrisphaera
ASV2155,0.171105389,0.460161664,0.371837556,0.713276678,0.848186817,FALSE,TRUE,L-BSC,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,Gemmata,ASV2155_Gemmata
ASV2157,-0.785898138,0.603085771,-1.303128304,0.204895231,0.384984797,FALSE,TRUE,L-BSC,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter,ASV2157_Hymenobacter
ASV216,2.272806954,0.773873244,2.936924067,0.007205493,0.032842074,FALSE,FALSE,L-BSC,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus,ASV216_Deinococcus
ASV2171,-0.355391567,0.456094705,-0.779205642,0.443474663,0.644919893,FALSE,TRUE,L-BSC,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Halalkalibacter,Halalkalibacter,ASV2171_Halalkalibacter
ASV2179,0.147452719,0.510168569,0.289027448,0.775042276,0.875542727,FALSE,TRUE,L-BSC,Bacteria,Gemmatimonadota,Longimicrobiia,Longimicrobiales,Longimicrobiaceae,NA,Longimicrobiaceae,ASV2179_Longimicrobiaceae
ASV218,0.17266312,0.613852374,0.281277922,0.780908117,0.878396003,FALSE,TRUE,L-BSC,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,NA,Gemmatimonadaceae,ASV218_Gemmatimonadaceae
ASV2185,0.116263096,0.509207493,0.228321651,0.821330375,0.898775286,FALSE,TRUE,L-BSC,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Pseudobdellovibrionaceae,NA,Pseudobdellovibrionaceae,ASV2185_Pseudobdellovibrionaceae
ASV2191,0.003249094,0.479510949,0.00677585,0.994649705,0.995789051,FALSE,TRUE,L-BSC,Bacteria,Abditibacteriota,Abditibacteriia,Abditibacteriales,Abditibacteriaceae,Abditibacterium,Abditibacterium,ASV2191_Abditibacterium
ASV22,-1.397519108,0.568247803,-2.459348017,0.021509325,0.072864924,FALSE,TRUE,L-BSC,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas,ASV22_Sphingomonas
ASV2204,0.088626501,0.49810726,0.17792654,0.860273934,0.923684789,FALSE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,AKYG1722,NA,AKYG1722,ASV2204_AKYG1722
ASV2209,-0.848986358,0.444723918,-1.909018887,0.068287044,0.174805978,FALSE,TRUE,L-BSC,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tautonia,Tautonia,ASV2209_Tautonia
ASV221,-2.653340395,0.675249953,-3.929419593,6.30E-04,0.005095645,TRUE,TRUE,L-BSC,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,NA,Armatimonadaceae,ASV221_Armatimonadaceae
ASV223,-1.055622821,0.823321319,-1.28215169,0.212036604,0.395309598,FALSE,TRUE,L-BSC,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus,ASV223_Deinococcus
ASV225,-0.461365661,0.789412327,-0.584441926,0.564377061,0.748506148,FALSE,TRUE,L-BSC,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,Vicinamibacteraceae,ASV225_Vicinamibacteraceae
ASV2255,-0.928910989,0.554964154,-1.673821601,0.107151019,0.239514042,FALSE,TRUE,L-BSC,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Sporocytophaga,Sporocytophaga,ASV2255_Sporocytophaga
ASV226,-0.977033482,0.741086973,-1.318378973,0.19982101,0.378016369,FALSE,TRUE,L-BSC,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Stenotrophobacter,Stenotrophobacter,ASV226_Stenotrophobacter
ASV2265,0.153372799,0.508429135,0.301660131,0.765509583,0.871165854,FALSE,TRUE,L-BSC,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,OLB17,OLB17,ASV2265_OLB17
ASV227,-0.478471838,0.844856158,-0.566335267,0.576424006,0.761700426,FALSE,TRUE,L-BSC,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,NA,Gemmatimonadaceae,ASV227_Gemmatimonadaceae
ASV2270,0.028614305,0.551599871,0.051875111,0.959057566,0.974670131,FALSE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Kallotenuales,AKIW781,NA,AKIW781,ASV2270_AKIW781
ASV2271,0.615339657,0.560183201,1.098461462,0.282901145,0.48365675,FALSE,TRUE,L-BSC,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,NA,Solirubrobacteraceae,ASV2271_Solirubrobacteraceae
ASV2273,-0.298631331,0.507039931,-0.588970045,0.561384615,0.747942307,FALSE,TRUE,L-BSC,Bacteria,Actinomycetota,Actinobacteria,Kineosporiales,Kineosporiaceae,Thalassiella,Thalassiella,ASV2273_Thalassiella
ASV228,-1.762513957,0.622117675,-2.833087741,0.009193261,0.038947599,TRUE,TRUE,L-BSC,Bacteria,Bacillota,Bacilli,Brevibacillales,Brevibacillaceae,Brevibacillus,Brevibacillus,ASV228_Brevibacillus
ASV2284,-0.552832604,0.529002598,-1.045047049,0.306413352,0.507195295,FALSE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,JG30-KF-CM45,ASV2284_JG30-KF-CM45
ASV229,-2.19005588,0.761737653,-2.875078936,0.008333635,0.036066422,TRUE,TRUE,L-BSC,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas,ASV229_Sphingomonas
ASV23,-2.450131685,0.577617112,-4.24179207,2.86E-04,0.002712702,TRUE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Kallotenuales,AKIW781,NA,AKIW781,ASV23_AKIW781
ASV2308,0.493335086,0.52284251,0.943563457,0.35479527,0.557717745,FALSE,TRUE,L-BSC,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,NA,Acidimicrobiaceae,ASV2308_Acidimicrobiaceae
ASV231,-1.344074848,0.588027194,-2.285735866,0.03139669,0.098353789,FALSE,TRUE,L-BSC,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomataceae,NA,Spirosomataceae,ASV231_Spirosomataceae
ASV2313,0.582763385,0.531013772,1.097454371,0.283332101,0.48365675,FALSE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Kallotenuales,AKIW781,NA,AKIW781,ASV2313_AKIW781
ASV2317,0.144579197,0.537754797,0.268857104,0.790337376,0.881597508,FALSE,TRUE,L-BSC,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter,ASV2317_Caulobacter
ASV2319,0.409987048,0.541899434,0.756574048,0.456668296,0.651106184,FALSE,TRUE,L-BSC,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,Gemmataceae,ASV2319_Gemmataceae
ASV232,-0.690252244,0.438855867,-1.572844972,0.128846351,0.273994431,FALSE,TRUE,L-BSC,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomataceae,Telluribacter,Telluribacter,ASV232_Telluribacter
ASV2336,-0.234085093,0.505173385,-0.463375744,0.64726986,0.808605457,FALSE,TRUE,L-BSC,Bacteria,Gemmatimonadota,Longimicrobiia,Longimicrobiales,Longimicrobiaceae,NA,Longimicrobiaceae,ASV2336_Longimicrobiaceae
ASV2343,-0.835098863,0.486206544,-1.717580467,0.098751628,0.228513022,FALSE,TRUE,L-BSC,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,WD2101_soil_group,ASV2343_WD2101_soil_group
ASV235,-2.271239015,0.686194004,-3.309907987,0.002939922,0.017244914,TRUE,TRUE,L-BSC,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavisolibacter,Flavisolibacter,ASV235_Flavisolibacter
ASV236,-1.424890078,0.710701253,-2.004907226,0.056378135,0.149926686,FALSE,TRUE,L-BSC,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas,ASV236_Gemmatimonas
ASV2362,-0.947275918,0.625847016,-1.513590213,0.143188689,0.292491057,FALSE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Kallotenuales,AKIW781,NA,AKIW781,ASV2362_AKIW781
ASV2364,-0.339137022,0.510470604,-0.664361511,0.512792038,0.709145951,FALSE,TRUE,L-BSC,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,Bryobacter,ASV2364_Bryobacter
ASV237,-3.343772626,0.597639249,-5.594968254,9.30E-06,2.12E-04,TRUE,TRUE,L-BSC,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,NA,Isosphaeraceae,ASV237_Isosphaeraceae
ASV2370,0.77231861,0.609508115,1.267117846,0.217271371,0.400551489,FALSE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Chloroflexaceae,FFCH7168,FFCH7168,ASV2370_FFCH7168
ASV2371,0.26078393,0.576008069,0.452743536,0.654799697,0.811765866,FALSE,TRUE,L-BSC,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas,ASV2371_Sphingomonas
ASV238,-2.062156865,0.702278384,-2.936380946,0.007214735,0.032842074,TRUE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Kallotenuales,AKIW781,NA,AKIW781,ASV238_AKIW781
ASV2384,0.22868754,0.490987262,0.465770822,0.645578889,0.808605457,FALSE,TRUE,L-BSC,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,Chthoniobacter,ASV2384_Chthoniobacter
ASV239,-3.797762703,0.38905825,-9.761424412,7.86E-10,8.59E-08,TRUE,TRUE,L-BSC,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,NA,Acetobacteraceae,ASV239_Acetobacteraceae
ASV2419,0.038086216,0.470208163,0.080998628,0.936114731,0.958037793,FALSE,TRUE,L-BSC,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,WD2101_soil_group,ASV2419_WD2101_soil_group
ASV2421,-0.214122693,0.508873966,-0.420777457,0.677661657,0.825247712,FALSE,TRUE,L-BSC,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,NA,Isosphaeraceae,ASV2421_Isosphaeraceae
ASV2428,-1.494496356,0.453931481,-3.292339086,0.003068723,0.01776201,TRUE,TRUE,L-BSC,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,NA,Myxococcaceae,ASV2428_Myxococcaceae
ASV243,1.225241185,0.674659697,1.816087711,0.081870355,0.199873436,FALSE,TRUE,L-BSC,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,Segetibacter,ASV243_Segetibacter
